source_record_key,source_id,source_row_number,review_text_raw,review_text_normalized_match,customer_rating,category_raw,category_normalized,canonical_category_family,category_mapping_status,product_name_raw,product_id_raw,shop_id_raw,sold_raw,sold_numeric_value,sold_value_semantics,sold_parse_status,sold_missing_flag,product_url_raw,cross_source_exact_overlap_flag,cross_source_normalized_overlap_flag
3b16dbce1977c8b0756ae728d7dcd08fa2673d66106def05b8f2ff94416db27d,SRC_TOKOPEDIA_REVIEWS_2019,1,Barang sesuai pesanan dan cepat sampai,barang sesuai pesanan dan cepat sampai,5,pertukangan,pertukangan,Pertukangan,EXACT,Staples Dekorasi Staples Kayu + Refill 8mm - Staples Gun 4-8 mm C Mart,418660637,1740837,1,1.0,EXACT,EXACT,False,https://www.tokopedia.com/shakaonline87/staples-dekorasi-staples-kayu-refill-8mm-staples-gun-4-8-mm-c-mart,False,False
311beb8b486d345911faf0589172e6ac70b8c7bf153b229b7b4c2abc465c75eb,SRC_TOKOPEDIA_REVIEWS_2019,2,Barang bagus harga murah,barang bagus harga murah,5,pertukangan,pertukangan,Pertukangan,EXACT,STAPLE GUN ATS 3 WAY TACKER - STAPLES JOK TEMBAK HEKTER 022708,416032545,1477109,11,11.0,EXACT,EXACT,False,https://www.tokopedia.com/juraganperkakas/staple-gun-ats-3-way-tacker-staples-jok-tembak-hekter-022708,False,False
9f1c1311174c98b3ebbab2df352b02cb791c8a444c5b6fc851919dbcf4f89a1b,SRC_TOKOPEDIA_REVIEWS_2019,3,Paket rapi...mantap....cepat....sampe ke tujuan,paket rapimantapcepatsampe ke tujuan,5,pertukangan,pertukangan,Pertukangan,EXACT,STAPLE GUN ATS 3 WAY TACKER - STAPLES JOK TEMBAK HEKTER 022708,416032545,1477109,11,11.0,EXACT,EXACT,False,https://www.tokopedia.com/juraganperkakas/staple-gun-ats-3-way-tacker-staples-jok-tembak-hekter-022708,False,False
e0afbca94acf61d4ce0d62cacab4f6235ffbe7ac822137b19f9a6ba8239ab19c,SRC_TOKOPEDIA_REVIEWS_2019,4,ya saya puas dgn barangnya,ya saya puas dgn barangnya,5,pertukangan,pertukangan,Pertukangan,EXACT,ALAT STAPLES TEMBAK &#40;AIR NAILER GUN&#41; OSSEL 1022J,102279869,771395,5,5.0,EXACT,EXACT,False,https://www.tokopedia.com/kamarmesin/alat-staples-tembak-air-nailer-gun-ossel-1022j,False,False
011e3ad5731cec4b85849749626c12a7cf28b0fab3ba7c0e7acfb8ced77d144d,SRC_TOKOPEDIA_REVIEWS_2019,5,Responya luar biasa b mantap,responya luar biasa b mantap,5,pertukangan,pertukangan,Pertukangan,EXACT,Isi Refill Staples Jok Kulit Motor / Staple Gun Max t3-10 mb MAX,190679689,969999,787,787.0,EXACT,EXACT,False,https://www.tokopedia.com/mitrapersada/isi-refill-staples-jok-kulit-motor-staple-gun-max-t3-10-mb-max,False,False
538a2bb72a5d56c9214faf76f852960f1bbe47a7947f3ff16794423593b6775a,SRC_TOKOPEDIA_REVIEWS_2019,6,"seller top, pengiriman cepat barang oke",seller top pengiriman cepat barang oke,5,pertukangan,pertukangan,Pertukangan,EXACT,Isi Refill Staples Jok Kulit Motor / Staple Gun Max t3-10 mb MAX,190679689,969999,787,787.0,EXACT,EXACT,False,https://www.tokopedia.com/mitrapersada/isi-refill-staples-jok-kulit-motor-staple-gun-max-t3-10-mb-max,False,False
1b29bd1ea049e723105a5323a2f3dd5dcce2173b25393484e00d02dd8a9b6922,SRC_TOKOPEDIA_REVIEWS_2019,7,pengiriman cepat seller top,pengiriman cepat seller top,5,pertukangan,pertukangan,Pertukangan,EXACT,Isi Refill Staples Jok Kulit Motor / Staple Gun Max t3-10 mb MAX,190679689,969999,787,787.0,EXACT,EXACT,False,https://www.tokopedia.com/mitrapersada/isi-refill-staples-jok-kulit-motor-staple-gun-max-t3-10-mb-max,False,False
9e74f59874d1cdecf89cb644e35e27be231aaf12163502fd9c67d59af6239020,SRC_TOKOPEDIA_REVIEWS_2019,8,Produk sesuai dengan spec di web dan respon seller sangat cepat. Thankyou.,produk sesuai dengan spec di web dan respon seller sangat cepat thankyou,5,pertukangan,pertukangan,Pertukangan,EXACT,Isi Refill Staples Jok Kulit Motor / Staple Gun Max t3-10 mb MAX,190679689,969999,787,787.0,EXACT,EXACT,False,https://www.tokopedia.com/mitrapersada/isi-refill-staples-jok-kulit-motor-staple-gun-max-t3-10-mb-max,False,False
716f8f653fc817ac12025f8200e1552fc86a5e6d45e6b8db588a4b9d8876fa4e,SRC_TOKOPEDIA_REVIEWS_2019,9,"Respon super cepat, pengiriman cepat, Barang bagus sesuai deskripsi penjual..thx gan",respon super cepat pengiriman cepat barang bagus sesuai deskripsi penjualthx gan,5,pertukangan,pertukangan,Pertukangan,EXACT,refill staples gun tacker manual isi paku tembak model bread nail 14mm,316217334,231740,82,82.0,EXACT,EXACT,False,https://www.tokopedia.com/rumahbajukita/refill-staples-gun-tacker-manual-isi-paku-tembak-model-bread-nail-14mm,False,False
2d782c33a1ae109f6201cff903ab3816d91602f6d0eec9654ccb5703cbb801a7,SRC_TOKOPEDIA_REVIEWS_2019,10,"Barang mantap, pelayanan cepat",barang mantap pelayanan cepat,5,pertukangan,pertukangan,Pertukangan,EXACT,refill staples gun tacker manual isi paku tembak model bread nail 14mm,316217334,231740,82,82.0,EXACT,EXACT,False,https://www.tokopedia.com/rumahbajukita/refill-staples-gun-tacker-manual-isi-paku-tembak-model-bread-nail-14mm,False,False
320ad4d51c73de832cf67ab29ade0f71d46234db4e91bd1b5444f1b33291fd7f,SRC_TOKOPEDIA_REVIEWS_2019,11,"Sippp,sesuai pic,dscrbs..cuma blum dicoba😁",sipppsesuai picdscrbscuma blum dicoba,5,pertukangan,pertukangan,Pertukangan,EXACT,refill staples gun tacker manual isi paku tembak model bread nail 14mm,316217334,231740,82,82.0,EXACT,EXACT,False,https://www.tokopedia.com/rumahbajukita/refill-staples-gun-tacker-manual-isi-paku-tembak-model-bread-nail-14mm,False,False
36f9eb7d5b2677bc18dbc1b6de46e428cb3e07c78f9ad72f4c0490f2af098ec0,SRC_TOKOPEDIA_REVIEWS_2019,12,Sayang produk yg datang di paking kurang rapi sehingga kebuka n isinya terhambur.  Saran klo mengirimkan isi paku tembak seperti ini di beri lakban dulu dikemasan pakunya baru di gabung kan dgn yg lain supaya tidak tercecer. Untuk kualitas barang seperinya bagus walau saya belum coba.  Terima kasih,sayang produk yg datang di paking kurang rapi sehingga kebuka n isinya terhambur saran klo mengirimkan isi paku tembak seperti ini di beri lakban dulu dikemasan pakunya baru di gabung kan dgn yg lain supaya tidak tercecer untuk kualitas barang seperinya bagus walau saya belum coba terima kasih,3,pertukangan,pertukangan,Pertukangan,EXACT,refill staples gun tacker manual isi paku tembak model bread nail 14mm,316217334,231740,82,82.0,EXACT,EXACT,False,https://www.tokopedia.com/rumahbajukita/refill-staples-gun-tacker-manual-isi-paku-tembak-model-bread-nail-14mm,False,False
b14fe0ac7de2100f6345e9c79a61a0a90f22401e4f24584c7cf4b133c0e6ba0d,SRC_TOKOPEDIA_REVIEWS_2019,13,Barang sesuai deskripsi..respon dan proses cepat. Terima kasih,barang sesuai deskripsirespon dan proses cepat terima kasih,5,pertukangan,pertukangan,Pertukangan,EXACT,refill staples gun tacker manual isi paku tembak model bread nail 14mm,316217334,231740,82,82.0,EXACT,EXACT,False,https://www.tokopedia.com/rumahbajukita/refill-staples-gun-tacker-manual-isi-paku-tembak-model-bread-nail-14mm,False,False
