source_id,crosstab_type,rating,target_class,count
SRC_PRDECT_ID_V1,Rating_x_Sentiment,1,Negative,1832
SRC_PRDECT_ID_V1,Rating_x_Sentiment,1,Positive,0
SRC_PRDECT_ID_V1,Rating_x_Sentiment,2,Negative,561
SRC_PRDECT_ID_V1,Rating_x_Sentiment,2,Positive,0
SRC_PRDECT_ID_V1,Rating_x_Sentiment,3,Negative,405
SRC_PRDECT_ID_V1,Rating_x_Sentiment,3,Positive,57
SRC_PRDECT_ID_V1,Rating_x_Sentiment,4,Negative,18
SRC_PRDECT_ID_V1,Rating_x_Sentiment,4,Positive,377
SRC_PRDECT_ID_V1,Rating_x_Sentiment,5,Negative,5
SRC_PRDECT_ID_V1,Rating_x_Sentiment,5,Positive,2145
SRC_PRDECT_ID_V1,Rating_x_Emotion,1,Anger,575
SRC_PRDECT_ID_V1,Rating_x_Emotion,1,Fear,590
SRC_PRDECT_ID_V1,Rating_x_Emotion,1,Happy,0
SRC_PRDECT_ID_V1,Rating_x_Emotion,1,Love,0
SRC_PRDECT_ID_V1,Rating_x_Emotion,1,Sadness,667
SRC_PRDECT_ID_V1,Rating_x_Emotion,2,Anger,75
SRC_PRDECT_ID_V1,Rating_x_Emotion,2,Fear,198
SRC_PRDECT_ID_V1,Rating_x_Emotion,2,Happy,0
SRC_PRDECT_ID_V1,Rating_x_Emotion,2,Love,0
SRC_PRDECT_ID_V1,Rating_x_Emotion,2,Sadness,288
SRC_PRDECT_ID_V1,Rating_x_Emotion,3,Anger,45
SRC_PRDECT_ID_V1,Rating_x_Emotion,3,Fear,129
SRC_PRDECT_ID_V1,Rating_x_Emotion,3,Happy,54
SRC_PRDECT_ID_V1,Rating_x_Emotion,3,Love,3
SRC_PRDECT_ID_V1,Rating_x_Emotion,3,Sadness,231
SRC_PRDECT_ID_V1,Rating_x_Emotion,4,Anger,2
SRC_PRDECT_ID_V1,Rating_x_Emotion,4,Fear,3
SRC_PRDECT_ID_V1,Rating_x_Emotion,4,Happy,352
SRC_PRDECT_ID_V1,Rating_x_Emotion,4,Love,25
SRC_PRDECT_ID_V1,Rating_x_Emotion,4,Sadness,13
SRC_PRDECT_ID_V1,Rating_x_Emotion,5,Anger,2
SRC_PRDECT_ID_V1,Rating_x_Emotion,5,Fear,0
SRC_PRDECT_ID_V1,Rating_x_Emotion,5,Happy,1364
SRC_PRDECT_ID_V1,Rating_x_Emotion,5,Love,781
SRC_PRDECT_ID_V1,Rating_x_Emotion,5,Sadness,3
